actor,represents_alliance,alliance,host_side_event_igc1,host_side_event_igc2,host_side_event_igc3,frq_sci,total_time,agg_total_time,agg_frq_sci,participants_CBD_cop18,participants_BBNJ_igc1,participants_BBNJ_igc2,participants_BBNJ_igc3,total_publications,total_citations,avg_citation,degree_centrality,eigen_centrality,agg_total_publications,agg_total_citations,r,indegree
jordan,jordan,jordan,NA,NA,NA,NA,NA,NA,NA,10,0,0,NA,11,96,8.72727272727273,89,0.00141869170218288,11,96,NA,0
kazakhstan,kazakhstan,kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,3,68,6.66652449991478e-4,6,18,NA,0
kenya,kenya,African Group,0,0,0,NA,358,9333,8,32,6,7,NA,30,720,24,922,0.0245666694159868,715,10755,NA,0
kiribati,kiribati,AOSIS,0,0,0,1,351,4381,10,1,4,0,NA,NA,NA,NA,NA,NA,111,0,kiribati,0
"korea, democratic peoples republic","korea, democratic peoples republic","korea, democratic peoples republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
kuwait,kuwait,kuwait,NA,NA,NA,NA,NA,NA,NA,5,0,3,NA,14,92,6.57142857142857,145,0.00381018127792592,14,92,NA,0
kyrgyzstan,kyrgyzstan,kyrgyzstan,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
laos,laos,laos,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,30,30,68,0.00113251928112967,0,0,eu,1
latvia,latvia,eu,NA,NA,NA,NA,NA,20144,37,2,3,3,NA,11,32,2.90909090909091,303,0.00335998859845883,9981,277146,NA,0
lebanon,lebanon,lebanon,NA,NA,NA,NA,NA,NA,NA,1,5,0,NA,13,47,3.61538461538462,266,0.00229203478051121,13,47,NA,0
lesotho,lesotho,African Group,NA,NA,NA,NA,NA,9333,8,3,0,0,NA,NA,NA,NA,NA,NA,715,10755,NA,0
liberia,liberia,African Group,NA,NA,NA,NA,NA,9333,8,3,0,0,NA,NA,NA,NA,NA,NA,715,10755,NA,0
libya,libya,African Group,NA,NA,NA,NA,NA,9333,8,1,0,0,NA,4,3,0.75,31,3.21467039558497e-4,715,10755,NA,0
liechtenstein,liechtenstein,liechtenstein,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
lithuania,lithuania,eu,NA,NA,NA,NA,NA,20144,37,2,3,3,NA,27,396,14.6666666666667,996,0.0161456007330179,9981,277146,NA,0
luxembourg,luxembourg,eu,NA,NA,NA,NA,NA,20144,37,4,0,0,NA,7,74,10.5714285714286,261,0.00324684866127769,9981,277146,NA,0
macedonia,macedonia,macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
madagascar,madagascar,African Group,NA,NA,NA,NA,NA,9333,8,19,4,4,NA,7,59,8.42857142857143,537,0.0152154047073527,715,10755,NA,0
malawi,Least Developed,Least Developed,0,0,0,NA,0,9333,8,6,0,0,NA,NA,NA,NA,NA,NA,715,10755,"malawi, paraguay, paraguay, sudan, eritrea",3
malaysia,malaysia,malaysia,0,0,0,NA,34,34,NA,17,4,3,NA,91,675,7.41758241758242,1542,0.0279264990338567,91,675,NA,0
maldives,maldives,AOSIS,1,0,0,NA,895,4381,10,8,9,8,NA,1,3,3,78,0.00171908844090264,111,1891,NA,0
mali,mali,African Group,0,0,0,NA,0,9333,8,6,4,4,NA,NA,NA,NA,NA,NA,715,10755,"paraguay, paraguay",1
